,,,,precision,recall,f1-score,support,,,,,,,,,,,
,,,0,1.00,1.00,1.00,1,,,,,,,,,,,
,,,1,1.00,1.00,1.00,1,,,,,,,,,,,
,,,2,0.50,1.00,1.00,1,,,,,,,,,,,
,,,3,0.50,1.00,1.00,1,,,,,,,,,,,
,,,4,1.00,1.00,1.00,1,,,,,,,,,,,
,,,5,1.00,1.00,1.00,1,,,,,,,,,,,
,,,6,1.00,1.00,1.00,1,,,,,,,,,,,
,,,7,1.00,1.00,1.00,1,,,,,,,,,,,
,,,8,1.00,1.00,1.00,1,,,,,,,,,,,
,,,9,1.00,1.00,1.00,1,,,,,,,,,,,
,,,10,1.00,1.00,1.00,1,,,,,,,,,,,
,,,11,1.00,1.00,1.00,1,,,,,,,,,,,
,,,12,1.00,1.00,1.00,1,,,,,,,,,,,
,,,13,1.00,1.00,1.00,1,,,,,,,,,,,
,,,14,1.00,1.00,1.00,1,,,,,,,,,,,
,,,15,1.00,1.00,1.00,1,,,,,,,,,,,
,,,16,1.00,1.00,1.00,1,,,,,,,,,,,
,,,17,1.00,1.00,1.00,1,,,,,,,,,,,
,,,18,1.00,1.00,1.00,1,,,,,,,,,,,
,,,19,1.00,1.00,1.00,1,,,,,,,,,,,
,,,20,1.00,1.00,1.00,1,,,,,,,,,,,
,,,21,1.00,1.00,1.00,1,,,,,,,,,,,
,,,22,0.00,0.00,0.00,1,,,,,,,,,,,
,,,23,1.00,1.00,1.00,1,,,,,,,,,,,
,,,24,1.00,1.00,1.00,1,,,,,,,,,,,
,,,25,1.00,1.00,1.00,1,,,,,,,,,,,
,,,26,1.00,1.00,1.00,1,,,,,,,,,,,
,,,27,1.00,1.00,1.00,1,,,,,,,,,,,
,,,28,1.00,1.00,1.00,1,,,,,,,,,,,
,,,29,0.00,0.00,0.00,1,,,,,,,,,,,
,,,30,1.00,1.00,1.00,1,,,,,,,,,,,
,,,31,1.00,1.00,1.00,1,,,,,,,,,,,
,,,32,1.00,1.00,1.00,1,,,,,,,,,,,
,,,33,1.00,1.00,1.00,1,,,,,,,,,,,
,,,34,1.00,1.00,1.00,1,,,,,,,,,,,
,,,35,1.00,1.00,1.00,1,,,,,,,,,,,
,,,36,1.00,1.00,1.00,1,,,,,,,,,,,
,,,37,1.00,1.00,1.00,1,,,,,,,,,,,
,,,38,1.00,1.00,1.00,1,,,,,,,,,,,
,,,39,1.00,1.00,1.00,1,,,,,,,,,,,
,,,40,1.00,1.00,1.00,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
         0.93      0.95      0.93        41,,,,,,,,,,,,,,,,,,
weighted avg       0.93      0.95      0.93        41,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,accuracy,,0.95,41.00
,,,,,,,,,,,,,,,macro avg ,0.93,0.95,41
,,,,,,,,,,,,,,,weighted avg,0.93,0.95,41
